company_name,city,state,pin_code,company_type,contact_number,company_website
" Lohia Motors, Ujjain  ",Ujjain,MadhyaPradesh,456010, Industry Top, (0734) 2559555  2559770,Website Not Found
 Lohia Automobiles  ,Bhilwara,Rajasthan,311001, Industry Top, (01482) 8003193522,Website Not Found
 Lohia Auto Industries  ,Noida,UttarPradesh,201309, Industry Top, (0120) 4141414,"<a href=""http://www.lohiaauto.com""  target=""_blank"">www.lohiaauto.com</a>"
 LNT India  ,NewDelhi,Delhi,110055, SMEs, (011) 23621566  23516414,"<a href=""http://lntindia.co.in""  target=""_blank"">lntindia.co.in</a>"
 LML Ltd  ,Kanpur,UttarPradesh,208022, Industry Top, (0512) 6660300,"<a href=""http://www.lmlworld.com""  target=""_blank"">www.lmlworld.com</a>"
 LMJ Services Ltd  ,Jodhpur,Rajasthan,342003, Industry Top, (0291) 2630478  2630479,"<a href=""http://lmjservicesltd.com""  target=""_blank"">lmjservicesltd.com</a>"
 LMC Enterprises Pvt Ltd  ,NewDelhi,Delhi,110006, SMEs, (011) 23989245,"<a href=""http://www.lmcent.com""  target=""_blank"">www.lmcent.com</a>"
 Litens Automotive India Pvt Ltd  ,Chakan,Maharashtra,410501, MNC, (02135) 612300,"<a href=""http://www.litens.com""  target=""_blank"">www.litens.com</a>"
 Linkway Honda Pvt Ltd  ,Mumbai,Maharashtra,400059, Industry Top, (022) 66123000,"<a href=""http://www.linkwayhonda.com""  target=""_blank"">www.linkwayhonda.com</a>"
 Liners India Ltd  ,Vijayawada,AndhraPradesh,520007, Industry Top, (0866) 2541822,"<a href=""http://www.linersindia.com""  target=""_blank"">www.linersindia.com</a>"
 LINCOLN Helios India Ltd (SKF)  ,Bangalore,Karnataka,560049, Industry Top, (080) 30710000,"<a href=""http://www.skf.com""  target=""_blank"">www.skf.com</a>"
 Lifelong India Pvt Ltd  ,NewDelhi,Delhi,110017, Industry Top, (011) 46017700,"<a href=""http://www.lifelongindia.com""  target=""_blank"">www.lifelongindia.com</a>"
 Libra Hyundai  ,Dhanbad,Jharkhand,826001, Industry Top, (0326) 2301134 2301135,"<a href=""http://libra.hyundaimotor.in""  target=""_blank"">libra.hyundaimotor.in</a>"
 Libra Ford  ,Sonepat,Haryana,131028, SMEs, (0130) 2371030  2371031,"<a href=""http://www.libraford.com""  target=""_blank"">www.libraford.com</a>"
 Libra Autocar Company Ltd  ,Ludhiana,Punjab,141301, Industry Top, (0161) 5050913  9855076000,"<a href=""http://www.marutisuzuki.com""  target=""_blank"">www.marutisuzuki.com</a>"
 Lexus Motors Ltd (Lexus Tata) ,Kolkata,WestBengal,700017, Industry Top,"
 ","<a href=""http://www.lexusmotors.in""  target=""_blank"">www.lexusmotors.in</a>"
 Lepakshi Auto  ,Vijayawada,AndhraPradesh,520002, SMEs, (0866) 8008428239,Website Not Found
 Leitz Tooling System India Pvt Ltd  ,Bangalore,Karnataka,560058, MNC, (080) 42833000  28364928,"<a href=""http://www.leitzindia.com""  target=""_blank"">www.leitzindia.com</a>"
 Legend Motors  ,Kasaragod,Kerala,671121, Industry Top, (04994) 222548,Website Not Found
 Leela Krishna Automobiles Pvt Ltd  ,Rajamundry,AndhraPradesh,533103, Industry Top, (0883) 2479890,"<a href=""http://www.leelakrishnatoyota.com""  target=""_blank"">www.leelakrishnatoyota.com</a>"
 Lectrix Motors Pvt Ltd ,Gurgaon,Haryana,122016, Industry Top, (0124) 4987400,"<a href=""http://www.lectrix.in""  target=""_blank"">www.lectrix.in</a>"
 Lear Automotive India Pvt Ltd  ,Pune,Maharashtra,411016, MNC, (020) 66123001,"<a href=""http://www.lear.com""  target=""_blank"">www.lear.com</a>"
 Laxmi Vallabha Motors Pvt Ltd.  ,Sindhanur,Karnataka,584128, Industry Top, (08535) 9008929188  9448439333,Website Not Found
 Laxmi Vallabha Motors Pvt Ltd  ,Raichur,Karnataka,584101, SMEs, (08532) 9342710223  9886300000,Website Not Found
 Laxmi Pipes Ltd  ,NewDelhi,Delhi,110002, SMEs, (011) 41538051  41538052,"<a href=""http://www.laxmipipes.in""  target=""_blank"">www.laxmipipes.in</a>"
 Laxmi Motors  ,Pune,Maharashtra,411004, SMEs, (020) 9822111200,Website Not Found
 Laxmi Motor Stores  ,PortBlair,Andaman&Nicobar,744101, SMEs, (03192) 230170,Website Not Found
" Laxmi Automobiles, Hazaribag  ",Hazaribag,Jharkhand,825301, Industry Top, (06546) 272790  272791,Website Not Found
 Laxmi Automobiles  ,Solapur,Maharashtra,413006, Industry Top, (0217) 2323400 9822012096,Website Not Found
 Laxmi Auto Body Builders  ,Ankleshwar,Gujarat,393002, Industry Top, (02646) 222244,"<a href=""http://laxmiauto.com""  target=""_blank"">laxmiauto.com</a>"
 Latur KTM  ,Latur,Maharashtra,413512, SMEs, (02382) 9511950000,Website Not Found
" Lathangi Ford, Ecity  ",Bangalore,Karnataka,560100, SMEs, (080) 25744181   25744182,"<a href=""http://www.lathangiford.com""  target=""_blank"">www.lathangiford.com</a>"
" Lathangi Ford, BG Road  ",Bangalore,Karnataka,560076, Industry Top, (080) 40557999,"<a href=""http://www.lathangiford.com""  target=""_blank"">www.lathangiford.com</a>"
 Lathangi Ford Pvt Ltd  ,Bangalore,Karnataka,560078, SMEs, (080) 49336900,"<a href=""http://www.lathangiford.com""  target=""_blank"">www.lathangiford.com</a>"
 Lara Distributors Pvt Ltd  ,Aurangabad,Maharashtra,824101, Industry Top, (0240) 7739777100  9122892834,Website Not Found
 Lapl Automotive Pvt Ltd  ,Aurangabad,Maharashtra,431136, SMEs, (0240) 6610339,"<a href=""http://www.laplautomotive.com""  target=""_blank"">www.laplautomotive.com</a>"
" Lanson Toyota, Kanchipuram  ",Kancheepuram,TamilNadu,631502, SMEs, (044) 9976730303,"<a href=""http://www.lansontoyota.com""  target=""_blank"">www.lansontoyota.com</a>"
 Lanson Toyota  ,Chennai,TamilNadu,600035, SMEs, (044) 9841030148,"<a href=""http://www.lansontoyota.com""  target=""_blank"">www.lansontoyota.com</a>"
 Lanson Toyota  ,Chennai,TamilNadu,600041, Industry Top, (044) 30005000,"<a href=""http://www.lansontoyota.com""  target=""_blank"">www.lansontoyota.com</a>"
 Lanson Motors Pvt Ltd  ,Chennai,TamilNadu,600107, Industry Top, (044) 30005000,"<a href=""http://www.lansontoyota.com""  target=""_blank"">www.lansontoyota.com</a>"
 Landmark Honda Automobiles Pvt Ltd  ,Ahmedabad,Gujarat,380059, Industry Top, (079) 66064544   66064503,"<a href=""http://www.landmarkhonda.in""  target=""_blank"">www.landmarkhonda.in</a>"
" Landmark Automobiles Pvt Ltd, Rajkot  ",Rajkot,Gujarat,360004, Industry Top, (0281) 6692000,"<a href=""http://www.landmarkhonda.in""  target=""_blank"">www.landmarkhonda.in</a>"
" Landmark Automobiles Pvt Ltd, Ahmedabad  ",Ahmedabad,Gujarat,380059, Industry Top, (079) 66064545,Website Not Found
 Landmark Automobiles Pvt Ltd  ,Jamnagar,Gujarat,361005, SMEs, (0288) 7567883018,Website Not Found
 Lamina Foundries Ltd  ,Karkala,Karnataka,574110, Industry Top, (08258) 281930  281931,"<a href=""http://www.laminafoundries.com""  target=""_blank"">www.laminafoundries.com</a>"
 Lally Motors India Pvt Ltd (Volkswagen)  ,Jalandhar,Punjab,144001, SMEs, (0181) 3089999,"<a href=""http://www.prestigehonda.com""  target=""_blank"">www.prestigehonda.com</a>"
